view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,url,responses,trial_id,question_order,condition,value,success,stimulus,key_press,phase,category,word,matchword,trial_matchtype,imagealt,correct_key,correct,reward_value,response,
"[{""page_index"":0,""viewing_time"":2769.4400000036694},{""page_index"":1,""viewing_time"":1273.734999995213},{""page_index"":2,""viewing_time"":1977.05499996664},{""page_index"":3,""viewing_time"":1525.7550000096671},{""page_index"":4,""viewing_time"":838.8099999865517},{""page_index"":5,""viewing_time"":1706.3850000267848}]",10092.685,instructions,0,10168,0.0-0.0-0.0,,,,,,,,,,,,,,,,,,,,
,29829.565,external-html,1,40095,0.0-0.0-1.0,consent_external_page.html,,,,,,,,,,,,,,,,,,,
,4503.74,survey-text,2,44601,0.0-0.0-2.0,,"{""Age"":""34""}",subject age,,,,,,,,,,,,,,,,,
,7599.63,survey-multi-choice,3,52202,0.0-0.0-3.0,,"{""Sex"":""Female""}",subject gender,[0],,,,,,,,,,,,,,,,
,10097.915,survey-text,4,62303,0.0-0.0-4.0,,"{""ParticipantID"":""5eee0dc4b02df0070d4e7683""}",prolificID,,Reward_Objects,,,,,,,,,,,,,,,
,,call-function,5,62305,0.0-0.0-5.0,,,,,,,,,,,,,,,,,,,,
,,fullscreen,6,68912,0.0-0.0-6.0,,,,,,,TRUE,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":21978.940000000875},{""page_index"":1,""viewing_time"":8639.290000020992}]",30618.525,instructions,7,99530,0.0-0.0-7.0,,,,,,,,,,,,,,,,,,,,
,null,html-keyboard-response,8,100535,0.0-0.0-8.0-0.0,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,null,html-keyboard-response,9,102539,0.0-0.0-8.0-1.0,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,,Trial,joro,kirei,,,,,,,
,null,html-keyboard-response,10,103541,0.0-0.0-8.0-2.0,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
