view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,url,responses,trial_id,question_order,condition,value,success,stimulus,key_press,phase,category,word,matchword,trial_matchtype,imagealt,correct_key,correct,reward_value,response,
"[{""page_index"":0,""viewing_time"":2609.549999999217},{""page_index"":1,""viewing_time"":7411.55500000059},{""page_index"":2,""viewing_time"":6378.824999999779},{""page_index"":3,""viewing_time"":2578.3699999992677},{""page_index"":4,""viewing_time"":3428.82500000087},{""page_index"":5,""viewing_time"":1242.9950000005192}]",23656.95,instructions,0,23676,0.0-0.0-0.0,,,,,,,,,,,,,,,,,,,,
,20181.645,external-html,1,43987,0.0-0.0-1.0,consent_external_page.html,,,,,,,,,,,,,,,,,,,
,3889.025,survey-text,2,47895,0.0-0.0-2.0,,"{""Age"":""19""}",subject age,,,,,,,,,,,,,,,,,
,3980.355,survey-multi-choice,3,51882,0.0-0.0-3.0,,"{""Sex"":""Prefer not to say""}",subject gender,[0],,,,,,,,,,,,,,,,
,7822.765,survey-text,4,59735,0.0-0.0-4.0,,"{""ParticipantID"":""5f6833b7b51c0018fc7937e0""}",prolificID,,Reward_Animals,,,,,,,,,,,,,,,
,,call-function,5,59739,0.0-0.0-5.0,,,,,,,,,,,,,,,,,,,,
,,fullscreen,6,62131,0.0-0.0-6.0,,,,,,,TRUE,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":23184.72499999916},{""page_index"":1,""viewing_time"":2824.4100000010803}]",26011.15,instructions,7,88144,0.0-0.0-7.0,,,,,,,,,,,,,,,,,,,,
,null,html-keyboard-response,8,89151,0.0-0.0-8.0-0.0,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,null,html-keyboard-response,9,91155,0.0-0.0-8.0-1.0,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,,Trial,joro,kirei,,,,,,,
,null,html-keyboard-response,10,92156,0.0-0.0-8.0-2.0,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,2462.74,html-keyboard-response,11,94623,0.0-0.0-8.0-3.0,,,match,,,,,<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,70,,Trial,joro,kirei,match_image,../img/Trial/Alt/laptop.jpg,70,TRUE,,,
