view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,url,responses,trial_id,question_order,condition,value,success,stimulus,key_press,phase,category,word,matchword,trial_matchtype,imagealt,correct_key,correct,reward_value,response,
"[{""page_index"":0,""viewing_time"":8089.204999996582},{""page_index"":1,""viewing_time"":9080.290000001696},{""page_index"":2,""viewing_time"":1537.6450000003388},{""page_index"":3,""viewing_time"":1206.5650000004098},{""page_index"":4,""viewing_time"":825.0449999977718},{""page_index"":5,""viewing_time"":927.7250000013737}]",21667.805,instructions,0,21691,0.0-0.0-0.0,,,,,,,,,,,,,,,,,,,,
,4527.755,external-html,1,26412,0.0-0.0-1.0,consent_external_page.html,,,,,,,,,,,,,,,,,,,
,3493.925,survey-text,2,29912,0.0-0.0-2.0,,"{""Age"":""20""}",subject age,,,,,,,,,,,,,,,,,
,2000.93,survey-multi-choice,3,31916,0.0-0.0-3.0,,"{""Sex"":""Female""}",subject gender,[0],,,,,,,,,,,,,,,,
,7260.8,survey-text,4,39186,0.0-0.0-4.0,,"{""ParticipantID"":""602d2811612bfe6bf32496ce""}",prolificID,,Reward_Animals,,,,,,,,,,,,,,,
,,call-function,5,39187,0.0-0.0-5.0,,,,,,,,,,,,,,,,,,,,
,,fullscreen,6,42334,0.0-0.0-6.0,,,,,,,TRUE,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":10441.720000002533},{""page_index"":1,""viewing_time"":2075.5799999969895}]",12517.67,instructions,7,54852,0.0-0.0-7.0,,,,,,,,,,,,,,,,,,,,
,null,html-keyboard-response,8,55859,0.0-0.0-8.0-0.0,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,null,html-keyboard-response,9,57863,0.0-0.0-8.0-1.0,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,,Trial,joro,kirei,,,,,,,
,null,html-keyboard-response,10,58869,0.0-0.0-8.0-2.0,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,1155.425,html-keyboard-response,11,60028,0.0-0.0-8.0-3.0,,,match,,,,,<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,70,,Trial,joro,kirei,match_image,../img/Trial/Alt/laptop.jpg,70,TRUE,,,
,null,html-keyboard-response,12,62036,0.0-0.0-8.0-4.0,,,feedback,,,,,<div class='header' align='center' style='font-size: 30px;color: #006600;'><b>Correct!</b></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='green_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='red_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,null,,Trial,joro,kirei,,,,,,,
,null,html-keyboard-response,13,63038,0.0-0.0-8.0-0.1,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,null,html-keyboard-response,14,65042,0.0-0.0-8.0-1.1,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>ushi</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/cow.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,,Trial,ushi,tsumu,,,,,,,
,null,html-keyboard-response,15,66047,0.0-0.0-8.0-2.1,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
