"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","trial_id","question_order","condition","value","success","stimulus","key_press","phase","category","word","matchword","trial_matchtype","imagealt","correct_key","correct","reward_value","response"
"[{""page_index"":0,""viewing_time"":7240},{""page_index"":1,""viewing_time"":175417},{""page_index"":2,""viewing_time"":42786},{""page_index"":3,""viewing_time"":4555.000000000029},{""page_index"":4,""viewing_time"":9416.99999999997},{""page_index"":5,""viewing_time"":2116.999999999971}]","241533","instructions","0","241533","0.0-0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","14336","external-html","1","255953","0.0-0.0-1.0","consent_external_page.html","","","","","","","","","","","","","","","","","",""
"","4227","survey-text","2","260197","0.0-0.0-2.0","","{""Age"":""18""}","subject age","","","","","","","","","","","","","","","",""
"","1955","survey-multi-choice","3","262153","0.0-0.0-3.0","","{""Sex"":""Male""}","subject gender","[0]","","","","","","","","","","","","","","",""
"","2980.000000000058","survey-text","4","265137","0.0-0.0-4.0","","{""ParticipantID"":""60037245635c4b0e02df51b6""}","prolificID","","Reward_Objects","","","","","","","","","","","","","",""
"","","call-function","5","265138","0.0-0.0-5.0","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","6","278960","0.0-0.0-6.0","","","","","","","true","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":40546},{""page_index"":1,""viewing_time"":116870}]","157418","instructions","7","436377","0.0-0.0-7.0","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","437379","0.0-0.0-8.0-0.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","null","html-keyboard-response","9","439381","0.0-0.0-8.0-1.0","","","stimuli","","","","","<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>","null","","Trial","joro","kirei","","","","","",""
"","null","html-keyboard-response","10","440382","0.0-0.0-8.0-2.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","null","html-keyboard-response","11","445384","0.0-0.0-8.0-3.0","","","match","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","null","","Trial","joro","kirei","match_image","../img/Trial/Alt/laptop.jpg","70","false","",""
"","null","html-keyboard-response","12","447387","0.0-0.0-8.0-4.0","","","feedback","","","","","<div class='header' align='center' style='font-size: 30px;color: black;'><b>Too slow!</b></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='green_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='red_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","null","","Trial","joro","kirei","","","","","",""
"","null","html-keyboard-response","13","448388","0.0-0.0-8.0-0.1","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","null","html-keyboard-response","14","450390","0.0-0.0-8.0-1.1","","","stimuli","","","","","<div class='header' align='center' style='font-size: 45px;'><b>ushi</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/cow.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>","null","","Trial","ushi","tsumu","","","","","",""
"","null","html-keyboard-response","15","451392","0.0-0.0-8.0-2.1","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
