view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,url,responses,trial_id,question_order,condition,value,success,stimulus,key_press,phase,category,word,matchword,trial_matchtype,imagealt,correct_key,correct,reward_value,response,
"[{""page_index"":0,""viewing_time"":1790.9999999999995},{""page_index"":1,""viewing_time"":6438},{""page_index"":2,""viewing_time"":7477},{""page_index"":3,""viewing_time"":3953},{""page_index"":4,""viewing_time"":3318},{""page_index"":5,""viewing_time"":1456}]",24434,instructions,0,24445,0.0-0.0-0.0,,,,,,,,,,,,,,,,,,,,
,7924,external-html,1,32421,0.0-0.0-1.0,consent_external_page.html,,,,,,,,,,,,,,,,,,,
,3078,survey-text,2,35524,0.0-0.0-2.0,,"{""Age"":""32""}",subject age,,,,,,,,,,,,,,,,,
,2538,survey-multi-choice,3,38064,0.0-0.0-3.0,,"{""Sex"":""Female""}",subject gender,[0],,,,,,,,,,,,,,,,
,7716,survey-text,4,45789,0.0-0.0-4.0,,"{""ParticipantID"":""6017b24238e7fb300caeb6a6""}",prolificID,,Reward_Animals,,,,,,,,,,,,,,,
,,call-function,5,45791,0.0-0.0-5.0,,,,,,,,,,,,,,,,,,,,
,,fullscreen,6,48456,0.0-0.0-6.0,,,,,,,TRUE,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":20292},{""page_index"":1,""viewing_time"":1494}]",21787,instructions,7,70243,0.0-0.0-7.0,,,,,,,,,,,,,,,,,,,,
,null,html-keyboard-response,8,71246,0.0-0.0-8.0-0.0,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,null,html-keyboard-response,9,73250,0.0-0.0-8.0-1.0,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,,Trial,joro,kirei,,,,,,,
