view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,url,responses,trial_id,question_order,condition,value,success,stimulus,key_press,phase,category,word,matchword,trial_matchtype,imagealt,correct_key,correct,reward_value,response,
"[{""page_index"":0,""viewing_time"":23608.269999735057},{""page_index"":1,""viewing_time"":69783.83500035852},{""page_index"":2,""viewing_time"":65521.94999996573},{""page_index"":3,""viewing_time"":5659.860000014305},{""page_index"":4,""viewing_time"":22646.21499972418},{""page_index"":5,""viewing_time"":1622.545000165701}]",188843.72,instructions,0,188869,0.0-0.0-0.0,,,,,,,,,,,,,,,,,,,,
,10299.725,external-html,1,199269,0.0-0.0-1.0,consent_external_page.html,,,,,,,,,,,,,,,,,,,
,5042.71,survey-text,2,204316,0.0-0.0-2.0,,"{""Age"":""19""}",subject age,,,,,,,,,,,,,,,,,
,5361.455,survey-multi-choice,3,209682,0.0-0.0-3.0,,"{""Sex"":""Female""}",subject gender,[0],,,,,,,,,,,,,,,,
,7549.4,survey-text,4,217235,0.0-0.0-4.0,,"{""ParticipantID"":""600df956646ab2400ee33cc0""}",prolificID,,Reward_Objects,,,,,,,,,,,,,,,
,,call-function,5,217236,0.0-0.0-5.0,,,,,,,,,,,,,,,,,,,,
,,fullscreen,6,221040,0.0-0.0-6.0,,,,,,,TRUE,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":15629.260000307113},{""page_index"":1,""viewing_time"":1910.1999998092651}]",17539.725,instructions,7,238580,0.0-0.0-7.0,,,,,,,,,,,,,,,,,,,,
,null,html-keyboard-response,8,239584,0.0-0.0-8.0-0.0,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,null,html-keyboard-response,9,241599,0.0-0.0-8.0-1.0,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,,Trial,joro,kirei,,,,,,,
,null,html-keyboard-response,10,242602,0.0-0.0-8.0-2.0,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,2811.83,html-keyboard-response,11,245415,0.0-0.0-8.0-3.0,,,match,,,,,<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,74,,Trial,joro,kirei,match_image,../img/Trial/Alt/laptop.jpg,74,TRUE,,,
,null,html-keyboard-response,12,247420,0.0-0.0-8.0-4.0,,,feedback,,,,,<div class='header' align='center' style='font-size: 30px;color: #006600;'><b>Correct!</b></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='red_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='green_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,null,,Trial,joro,kirei,,,,,,,
,null,html-keyboard-response,13,248432,0.0-0.0-8.0-0.1,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,null,html-keyboard-response,14,250435,0.0-0.0-8.0-1.1,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>ushi</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/cow.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,,Trial,ushi,tsumu,,,,,,,
,null,html-keyboard-response,15,251440,0.0-0.0-8.0-2.1,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,2030.25,html-keyboard-response,16,253471,0.0-0.0-8.0-3.1,,,match,,,,,<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct word</i></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>tsumu<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Trial/cow2.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>ushi<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,74,,Trial,ushi,tsumu,match_word,../img/Trial/Alt/polarbear.jpg,74,TRUE,,,
,null,html-keyboard-response,17,255473,0.0-0.0-8.0-4.1,,,feedback,,,,,<div class='header' align='center' style='font-size: 30px;color: #006600;'><b>Correct!</b></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px; color:#B00000;'class='Column'>tsumu<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Trial/cow2.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px; color:#006600;'class='Column'>ushi<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,null,,Trial,ushi,tsumu,,,,,,,
,null,html-keyboard-response,18,256488,0.0-0.0-8.0-0.2,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,null,html-keyboard-response,19,258497,0.0-0.0-8.0-1.2,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>kujaku</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/peacock.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,,Trial,kujaku,hidari,,,,,,,
,null,html-keyboard-response,20,259504,0.0-0.0-8.0-2.2,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,1210.715,html-keyboard-response,21,260718,0.0-0.0-8.0-3.2,,,match,,,,,<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/peacock2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>kujaku</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/lemur.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,70,,Trial,kujaku,hidari,match_image,../img/Trial/Alt/lemur.jpg,70,TRUE,,,
,null,html-keyboard-response,22,262734,0.0-0.0-8.0-4.2,,,feedback,,,,,<div class='header' align='center' style='font-size: 30px;color: #006600;'><b>Correct!</b></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/peacock2.jpg' height='300px' width='300px'class='green_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>kujaku</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/lemur.jpg' height='300px' width='300px'class='red_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,null,,Trial,kujaku,hidari,,,,,,,
,null,html-keyboard-response,23,263743,0.0-0.0-8.0-0.3,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,null,html-keyboard-response,24,265747,0.0-0.0-8.0-1.3,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,,Trial,joro,kirei,,,,,,,
