"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","trial_id","question_order","condition","value","success","stimulus","key_press","phase","category","word","matchword","trial_matchtype","imagealt","correct_key","correct","reward_value","response"
"[{""page_index"":0,""viewing_time"":12763},{""page_index"":1,""viewing_time"":8117},{""page_index"":2,""viewing_time"":4690},{""page_index"":3,""viewing_time"":3569},{""page_index"":4,""viewing_time"":2644},{""page_index"":5,""viewing_time"":2208}]","33991","instructions","0","33998","0.0-0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","6342","external-html","1","40427","0.0-0.0-1.0","consent_external_page.html","","","","","","","","","","","","","","","","","",""
"","2907","survey-text","2","43338","0.0-0.0-2.0","","{""Age"":""26""}","subject age","","","","","","","","","","","","","","","",""
"","2166","survey-multi-choice","3","45505","0.0-0.0-3.0","","{""Sex"":""Male""}","subject gender","[0]","","","","","","","","","","","","","","",""
"","6930","survey-text","4","52438","0.0-0.0-4.0","","{""ParticipantID"":""5e96fb81d86e5003475be4fc""}","prolificID","","Reward_Objects","","","","","","","","","","","","","",""
"","","call-function","5","52439","0.0-0.0-5.0","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","6","55077","0.0-0.0-6.0","","","","","","","true","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":13168},{""page_index"":1,""viewing_time"":2083}]","15251","instructions","7","70329","0.0-0.0-7.0","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","71334","0.0-0.0-8.0-0.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","null","html-keyboard-response","9","73342","0.0-0.0-8.0-1.0","","","stimuli","","","","","<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>","null","","Trial","joro","kirei","","","","","",""
"","null","html-keyboard-response","10","74346","0.0-0.0-8.0-2.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","2033","html-keyboard-response","11","76382","0.0-0.0-8.0-3.0","","","match","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","70","","Trial","joro","kirei","match_image","../img/Trial/Alt/laptop.jpg","70","true","",""
"","null","html-keyboard-response","12","78384","0.0-0.0-8.0-4.0","","","feedback","","","","","<div class='header' align='center' style='font-size: 30px;color: #006600;'><b>Correct!</b></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='green_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='red_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","null","","Trial","joro","kirei","","","","","",""
"","null","html-keyboard-response","13","79385","0.0-0.0-8.0-0.1","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","null","html-keyboard-response","14","81390","0.0-0.0-8.0-1.1","","","stimuli","","","","","<div class='header' align='center' style='font-size: 45px;'><b>ushi</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/cow.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>","null","","Trial","ushi","tsumu","","","","","",""
"","null","html-keyboard-response","15","82391","0.0-0.0-8.0-2.1","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","1146","html-keyboard-response","16","83539","0.0-0.0-8.0-3.1","","","match","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct word</i></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>ushi<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Trial/cow2.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>tsumu<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","70","","Trial","ushi","tsumu","match_word","../img/Trial/Alt/polarbear.jpg","70","true","",""
"","null","html-keyboard-response","17","85543","0.0-0.0-8.0-4.1","","","feedback","","","","","<div class='header' align='center' style='font-size: 30px;color: #006600;'><b>Correct!</b></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px; color:#006600;'class='Column'>ushi<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Trial/cow2.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px; color:#B00000;'class='Column'>tsumu<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","null","","Trial","ushi","tsumu","","","","","",""
"","null","html-keyboard-response","18","86548","0.0-0.0-8.0-0.2","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","null","html-keyboard-response","19","88551","0.0-0.0-8.0-1.2","","","stimuli","","","","","<div class='header' align='center' style='font-size: 45px;'><b>kujaku</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/peacock.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>","null","","Trial","kujaku","hidari","","","","","",""
"","null","html-keyboard-response","20","89555","0.0-0.0-8.0-2.2","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","1032","html-keyboard-response","21","90588","0.0-0.0-8.0-3.2","","","match","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/lemur.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>kujaku</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/peacock2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","74","","Trial","kujaku","hidari","match_image","../img/Trial/Alt/lemur.jpg","74","true","",""
"","null","html-keyboard-response","22","92591","0.0-0.0-8.0-4.2","","","feedback","","","","","<div class='header' align='center' style='font-size: 30px;color: #006600;'><b>Correct!</b></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/lemur.jpg' height='300px' width='300px'class='red_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>kujaku</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/peacock2.jpg' height='300px' width='300px'class='green_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","null","","Trial","kujaku","hidari","","","","","",""
"","null","html-keyboard-response","23","93595","0.0-0.0-8.0-0.3","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","null","html-keyboard-response","24","95597","0.0-0.0-8.0-1.3","","","stimuli","","","","","<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>","null","","Trial","joro","kirei","","","","","",""
"","null","html-keyboard-response","25","96602","0.0-0.0-8.0-2.3","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","1250","html-keyboard-response","26","97853","0.0-0.0-8.0-3.3","","","match","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct word</i></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>kirei<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>joro<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","74","","Trial","joro","kirei","match_word","../img/Trial/Alt/laptop.jpg","74","true","",""
"","null","html-keyboard-response","27","99854","0.0-0.0-8.0-4.3","","","feedback","","","","","<div class='header' align='center' style='font-size: 30px;color: #006600;'><b>Correct!</b></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px; color:#B00000;'class='Column'>kirei<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px; color:#006600;'class='Column'>joro<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","null","","Trial","joro","kirei","","","","","",""
"","null","html-keyboard-response","28","100857","0.0-0.0-8.0-0.4","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","null","html-keyboard-response","29","102860","0.0-0.0-8.0-1.4","","","stimuli","","","","","<div class='header' align='center' style='font-size: 45px;'><b>nabe</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/pan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>","null","","Trial","nabe","chikai","","","","","",""
"","null","html-keyboard-response","30","103864","0.0-0.0-8.0-2.4","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","889","html-keyboard-response","31","104754","0.0-0.0-8.0-3.4","","","match","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/pan2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>nabe</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/pen.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","70","","Trial","nabe","chikai","match_image","../img/Trial/Alt/pen.jpg","70","true","",""
"","null","html-keyboard-response","32","106757","0.0-0.0-8.0-4.4","","","feedback","","","","","<div class='header' align='center' style='font-size: 30px;color: #006600;'><b>Correct!</b></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/pan2.jpg' height='300px' width='300px'class='green_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>nabe</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/pen.jpg' height='300px' width='300px'class='red_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","null","","Trial","nabe","chikai","","","","","",""
"","","call-function","33","106757","0.0-0.0-9.0","","","","","","","","","","","","","","","","","","",""
"","4171","html-keyboard-response","34","110931","0.0-1.0-0.0","","","instructions","","","","","<p>Now let's begin the real study.</p><p>Phase 1 will take no more than 10 minutes.</p><p><b>Press J</b> to begin.</p>","74","","","","","","","","","",""
"","null","html-keyboard-response","35","111932","0.0-1.0-1.0-0.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","null","html-keyboard-response","36","113938","0.0-1.0-1.0-1.0","","","stimuli","","","","","<div class='header' align='center' style='font-size: 45px;'><b>inu</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Animals/dog.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>","null","Phase 1","Animal","inu","hiji","","","","","",""
"","null","html-keyboard-response","37","114942","0.0-1.0-1.0-2.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
