"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","trial_id","question_order","condition","value","success","stimulus","key_press","phase","category","word","matchword","trial_matchtype","imagealt","correct_key","correct","reward_value","word_phase","response"
"[{""page_index"":0,""viewing_time"":33215},{""page_index"":1,""viewing_time"":11869},{""page_index"":2,""viewing_time"":32439},{""page_index"":3,""viewing_time"":3700},{""page_index"":4,""viewing_time"":4320},{""page_index"":5,""viewing_time"":1420}]","86964","instructions","0","86980","0.0-0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","28326","external-html","1","115490","0.0-0.0-1.0","consent_external_page.html","","","","","","","","","","","","","","","","","","",""
"","2562","survey-text","2","118060","0.0-0.0-2.0","","{""Age"":""22""}","subject age","","","","","","","","","","","","","","","","",""
"","2288","survey-multi-choice","3","120353","0.0-0.0-3.0","","{""Sex"":""Female""}","subject gender","[0]","","","","","","","","","","","","","","","",""
"","7361","survey-text","4","127719","0.0-0.0-4.0","","{""ParticipantID"":""5ee61c6204aef93753868325""}","prolificID","","Reward_Animals","","","","","","","","","","","","","","",""
"","","call-function","5","127721","0.0-0.0-5.0","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","6","132207","0.0-0.0-6.0","","","","","","","true","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":28500},{""page_index"":1,""viewing_time"":1651}]","30152","instructions","7","162361","0.0-0.0-7.0","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","163378","0.0-0.0-8.0-0.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","","",""
"","null","html-keyboard-response","9","165397","0.0-0.0-8.0-1.0","","","stimuli","","","","","<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>","null","","Trial","joro","kirei","","","","","","",""
