"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","trial_id","question_order","condition","value","success","stimulus","key_press","phase","category","word","matchword","trial_matchtype","imagealt","correct_key","correct","reward_value","word_phase","response"
"[{""page_index"":0,""viewing_time"":5733.084999999846},{""page_index"":1,""viewing_time"":11474.755000002915},{""page_index"":2,""viewing_time"":8886.830000003101},{""page_index"":3,""viewing_time"":2931.7899999878136},{""page_index"":4,""viewing_time"":2500.1699999993434},{""page_index"":5,""viewing_time"":1163.750000006985}]","32691.460000001825","instructions","0","32709","0.0-0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","7562.920000011218","external-html","1","40358","0.0-0.0-1.0","consent_external_page.html","","","","","","","","","","","","","","","","","","",""
"","3436.2049999908777","survey-text","2","43796","0.0-0.0-2.0","","{""Age"":""23""}","subject age","","","","","","","","","","","","","","","","",""
"","1898.0799999990268","survey-multi-choice","3","45696","0.0-0.0-3.0","","{""Sex"":""Female""}","subject gender","[0]","","","","","","","","","","","","","","","",""
"","7895.539999997709","survey-text","4","53594","0.0-0.0-4.0","","{""ParticipantID"":""5ff4a92a43c578c187ea1f2d""}","prolificID","","Reward_Animals","","","","","","","","","","","","","","",""
"","","call-function","5","53595","0.0-0.0-5.0","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","6","56073","0.0-0.0-6.0","","","","","","","true","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":15208.58499998576},{""page_index"":1,""viewing_time"":1989.5800000085728}]","17198.539999997593","instructions","7","73272","0.0-0.0-7.0","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","74276","0.0-0.0-8.0-0.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","","",""
"","null","html-keyboard-response","9","76281","0.0-0.0-8.0-1.0","","","stimuli","","","","","<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>","null","","Trial","joro","kirei","","","","","","",""
