"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","trial_id","question_order","condition","value","success","stimulus","key_press","phase","category","word","matchword","trial_matchtype","imagealt","correct_key","correct","reward_value","word_phase","response"
"[{""page_index"":0,""viewing_time"":170306.20999999973},{""page_index"":1,""viewing_time"":474317.49000000034},{""page_index"":2,""viewing_time"":15568.459999999497},{""page_index"":3,""viewing_time"":2592.020000000135},{""page_index"":4,""viewing_time"":2895.2600000001257},{""page_index"":5,""viewing_time"":1288.5399999995716}]","666970.8949999994","instructions","0","667000","0.0-0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","8890.560000000638","external-html","1","676037","0.0-0.0-1.0","consent_external_page.html","","","","","","","","","","","","","","","","","","",""
"","2490.1350000000093","survey-text","2","678535","0.0-0.0-2.0","","{""Age"":""26""}","subject age","","","","","","","","","","","","","","","","",""
"","1806.910000000149","survey-multi-choice","3","680348","0.0-0.0-3.0","","{""Sex"":""Male""}","subject gender","[0]","","","","","","","","","","","","","","","",""
"","6033.089999999967","survey-text","4","686391","0.0-0.0-4.0","","{""ParticipantID"":""5e8fc651d1aa0d2ba33717c9""}","prolificID","","Reward_Animals","","","","","","","","","","","","","","",""
"","","call-function","5","686396","0.0-0.0-5.0","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","6","952046","0.0-0.0-6.0","","","","","","","true","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":21851.609999999753},{""page_index"":1,""viewing_time"":2927.9299999998184}]","24780.37999999919","instructions","7","976828","0.0-0.0-7.0","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","977833","0.0-0.0-8.0-0.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","","",""
"","null","html-keyboard-response","9","979851","0.0-0.0-8.0-1.0","","","stimuli","","","","","<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>","null","","Trial","joro","kirei","","","","","","",""
"","null","html-keyboard-response","10","980860","0.0-0.0-8.0-2.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","","",""
"","1385.865000000107","html-keyboard-response","11","982252","0.0-0.0-8.0-3.0","","","match","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","70","","Trial","joro","kirei","match_image","../img/Trial/Alt/laptop.jpg","70","true","","",""
