"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","trial_id","question_order","condition","value","success","stimulus","key_press","phase","category","word","matchword","trial_matchtype","imagealt","correct_key","correct","reward_value","word_phase","response"
"[{""page_index"":0,""viewing_time"":3088.384999995469},{""page_index"":1,""viewing_time"":9863.370000006398},{""page_index"":2,""viewing_time"":5944.109999996726},{""page_index"":3,""viewing_time"":4783.8750000082655},{""page_index"":4,""viewing_time"":5488.0449999909615},{""page_index"":5,""viewing_time"":2464.0349999972386}]","31632.53000000259","instructions","0","31636","0.0-0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","7360.570000004373","external-html","1","39140","0.0-0.0-1.0","consent_external_page.html","","","","","","","","","","","","","","","","","","",""
"","2669.3599999998696","survey-text","2","41812","0.0-0.0-2.0","","{""Age"":""22""}","subject age","","","","","","","","","","","","","","","","",""
"","1838.3100000064587","survey-multi-choice","3","43652","0.0-0.0-3.0","","{""Sex"":""Male""}","subject gender","[0]","","","","","","","","","","","","","","","",""
"","4684.769999992568","survey-text","4","48340","0.0-0.0-4.0","","{""ParticipantID"":""5f86e6019a0cbc03afd4ac20""}","prolificID","","Reward_Objects","","","","","","","","","","","","","","",""
"","","call-function","5","48341","0.0-0.0-5.0","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","6","54389","0.0-0.0-6.0","","","","","","","true","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":17340.38999999757},{""page_index"":1,""viewing_time"":1768.3649999962654}]","19108.95999999775","instructions","7","73500","0.0-0.0-7.0","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","74519","0.0-0.0-8.0-0.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","","",""
"","null","html-keyboard-response","9","76525","0.0-0.0-8.0-1.0","","","stimuli","","","","","<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>","null","","Trial","joro","kirei","","","","","","",""
"","null","html-keyboard-response","10","77538","0.0-0.0-8.0-2.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","","",""
"","null","html-keyboard-response","11","79552","0.0-0.0-8.0-3.0","","","match","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","null","","Trial","joro","kirei","match_image","../img/Trial/Alt/laptop.jpg","70","false","","",""
"","null","html-keyboard-response","12","81560","0.0-0.0-8.0-4.0","","","feedback","","","","","<div class='header' align='center' style='font-size: 30px;color: black;'><b>Too slow!</b></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='green_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='red_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","null","","Trial","joro","kirei","","","","","","",""
"","null","html-keyboard-response","13","82573","0.0-0.0-8.0-0.1","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","","",""
"","null","html-keyboard-response","14","84584","0.0-0.0-8.0-1.1","","","stimuli","","","","","<div class='header' align='center' style='font-size: 45px;'><b>ushi</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/cow.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>","null","","Trial","ushi","tsumu","","","","","","",""
"","null","html-keyboard-response","15","85597","0.0-0.0-8.0-2.1","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","","",""
