"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","trial_id","question_order","condition","value","success","stimulus","key_press","phase","category","word","matchword","trial_matchtype","imagealt","correct_key","correct","reward_value","word_phase","response"
"[{""page_index"":0,""viewing_time"":3524.684999953024},{""page_index"":1,""viewing_time"":30410.29000002891},{""page_index"":2,""viewing_time"":86269.27499996964},{""page_index"":3,""viewing_time"":4002.485000062734},{""page_index"":4,""viewing_time"":4798.450000002049},{""page_index"":5,""viewing_time"":2456.9399999454618}]","131482.88999998476","instructions","0","131499","0.0-0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","10757.935000001453","external-html","1","142400","0.0-0.0-1.0","consent_external_page.html","","","","","","","","","","","","","","","","","","",""
"","3475.0350000103936","survey-text","2","145913","0.0-0.0-2.0","","{""Age"":""27""}","subject age","","","","","","","","","","","","","","","","",""
"","2719.4300000555813","survey-multi-choice","3","148646","0.0-0.0-3.0","","{""Sex"":""Male""}","subject gender","[0]","","","","","","","","","","","","","","","",""
"","6218.624999979511","survey-text","4","154879","0.0-0.0-4.0","","{""ParticipantID"":""5c44b3fe1bbffd0001014286""}","prolificID","","Reward_Objects","","","","","","","","","","","","","","",""
"","","call-function","5","154887","0.0-0.0-5.0","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","6","157926","0.0-0.0-6.0","","","","","","","true","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":30158.425000030547},{""page_index"":1,""viewing_time"":1694.1449999576434}]","31854.09499995876","instructions","7","189783","0.0-0.0-7.0","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","190793","0.0-0.0-8.0-0.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","","",""
"","null","html-keyboard-response","9","192817","0.0-0.0-8.0-1.0","","","stimuli","","","","","<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>","null","","Trial","joro","kirei","","","","","","",""
"","null","html-keyboard-response","10","193820","0.0-0.0-8.0-2.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","","",""
"","null","html-keyboard-response","11","195829","0.0-0.0-8.0-3.0","","","match","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","null","","Trial","joro","kirei","match_image","../img/Trial/Alt/laptop.jpg","74","false","","",""
