"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","trial_id","question_order","condition","value","success","stimulus","key_press","phase","category","word","matchword","trial_matchtype","imagealt","correct_key","correct","reward_value","word_phase","response"
"[{""page_index"":0,""viewing_time"":5068.800000168649},{""page_index"":1,""viewing_time"":7354.200000117209},{""page_index"":2,""viewing_time"":10594.899999962013},{""page_index"":3,""viewing_time"":5340.700000016674},{""page_index"":4,""viewing_time"":2863.9999995600446},{""page_index"":5,""viewing_time"":1019.2000004867004}]","32243.099999977254","instructions","0","32254","0.0-0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","9914.09999981858","external-html","1","42266","0.0-0.0-1.0","consent_external_page.html","","","","","","","","","","","","","","","","","","",""
"","3746.7000001759297","survey-text","2","46032","0.0-0.0-2.0","","{""Age"":""18""}","subject age","","","","","","","","","","","","","","","","",""
"","6040.399999842572","survey-multi-choice","3","52080","0.0-0.0-3.0","","{""Sex"":""Male""}","subject gender","[0]","","","","","","","","","","","","","","","",""
"","7439.799999494397","survey-text","4","59537","0.0-0.0-4.0","","{""ParticipantID"":""5fcd333c60422dbe622757d9""}","prolificID","","Reward_Objects","","","","","","","","","","","","","","",""
"","","call-function","5","59542","0.0-0.0-5.0","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","6","64186","0.0-0.0-6.0","","","","","","","true","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3669.5999997163162},{""page_index"":1,""viewing_time"":3535.10000043326}]","7205.100000267121","instructions","7","71396","0.0-0.0-7.0","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","72415","0.0-0.0-8.0-0.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","","",""
"","null","html-keyboard-response","9","74434","0.0-0.0-8.0-1.0","","","stimuli","","","","","<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>","null","","Trial","joro","kirei","","","","","","",""
"","null","html-keyboard-response","10","75453","0.0-0.0-8.0-2.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","","",""
